◆◆◆　https://raw.githubusercontent.com/xiaoran67/update/refs/heads/main/output/full.txt
◆◆◆　https://3043.kstore.space/bhvip/bhzb.txt
ELEVEN体育3,rtmp://f13h.mine.nu/sat/tv751
美亚电影,http://php.jdshipin.com/TVOD/iptv.php?id=meiya
广东珠江,http://php.jdshipin.com/TVOD/iptv.php?id=gdzj
澳视澳门,http://php.jdshipin.com/TVOD/iptv.php?id=asam
澳视卫星,http://php.jdshipin.com/TVOD/iptv.php?id=as
RTHK31,http://php.jdshipin.com/TVOD/iptv.php?id=rthk31
RTHK32,http://php.jdshipin.com/TVOD/iptv.php?id=rthk32
CCTV1港澳版,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
popc,https://fr-us7.jdiptv.cc/live/popc.m3u8
星空国际,http://iot-mqqt.111yao.cn:8080/live/diyp_starmovies.m3u8
凤凰电影,http://iot-mqqt.111yao.cn:8080/live/diyp_fhdy.m3u8
18台,http://bx.757888.xyz/api.php?id=18
中天新闻台(维护),http://bx.757888.xyz/api.php?id=ztxw
Astro AOD,http://php.jdshipin.com/smt.php?id=Aodhd
重温经典,http://php.jdshipin.com/TVOD/iptv.php?id=cwjd
广东体育,http://php.jdshipin.com/TVOD/iptv.php?id=gdty
音乐台,https://kq.bgp.68tool.com/video/m3u8/2022/08/17/e4ce2ac7/playlist.m3u8
凤凰电影,https://tv.bfsu.edu.cn/hls/fhdy.m3u8
popc电影,http://aktv_stream1.m16tv.cfd/stream/aktv/popc/AKTV.m3u8
临夏市,http://124.152.34.102:8030/wCMq71/wCMq71_0.m3u8
沭阳综合,http://shuyang-tv-hls.cm.jstv.com/shuyang-tv/shuyangzh.m3u8
水浒传轮播,http://1.94.31.214:35455/huya/26355860
黄埔慢直播,https://pili-live-hls.wdit.com.cn/wditlive/2ccda390789949a6ac77296923d94d8e140d.m3u8
四川文化旅游,http://api.dbkan.cdn.iptv.xin:2052/api.dbkan.com/hn/301
四川妇女儿童,http://api.dbkan.cdn.iptv.xin:2052/api.dbkan.com/hn/303
四川经济,http://api.dbkan.cdn.iptv.xin:2052/api.dbkan.com/hn/302
峨眉电影,http://api.dbkan.cdn.iptv.xin:2052/api.dbkan.com/hn/306
风云音乐,http://cqcb.live.iptv.darwinchow.com/fyyyHD
怀旧剧场,http://cqcb.live.iptv.darwinchow.com/hjjcHD
第一剧场,http://cqcb.live.iptv.darwinchow.com/diyijuchangHD
兵器科技,http://cqcb.live.iptv.darwinchow.com/bqkjHD
风云剧场,http://cqcb.live.iptv.darwinchow.com/fyjcHD
幸福娱乐,http://cqcb.live.iptv.darwinchow.com/xfylHD
风尚生活,http://cqcb.live.iptv.darwinchow.com/fsshHD
文化精品,http://cqcb.live.iptv.darwinchow.com/yswhHD
高尔夫网球,http://cqcb.live.iptv.darwinchow.com/golfHD
教育卫视,http://cqcb.live.iptv.darwinchow.com/sdjiaoyuSD
教育卫视,http://test1.live.sdetv.com.cn/live/dianshizhibo/playlist.m3u8
龙江卫视,http://60.174.40.117:85/tsfile/live/1032_1.m3u8?key=txiptv
内蒙卫视,http://219.146.95.58:59902/tsfile/live/0109_1.m3u8
龙江卫视,http://221.226.4.10:85/tsfile/live/1019_1.m3u8?key=txiptv
内蒙卫视,http://219.146.95.58:59902/tsfile/live/0109_1.m3u8?txiptv
海峡卫视,http://121.237.204.65:35455/mgtv/849119120.m3u8
新片放映厅,http://121.237.204.65:35455/mgtv/619495952.m3u8
大片,http://121.237.204.65:35455/mgtv/629943678.m3u8
南方影视,http://121.237.204.65:35455/mgtv/614961829.m3u8
红色轮播,http://121.237.204.65:35455/mgtv/713600957.m3u8
和美乡途轮播,http://121.237.204.65:35455/mgtv/713591450.m3u8
赛事最经典,http://121.237.204.65:35455/mgtv/646596895.m3u8
华语乐坛最强音,http://121.237.204.65:35455/mgtv/707671890.m3u8
周杰伦现场,http://121.237.204.65:35455/mgtv/625133682.m3u8
最强综艺趴,http://121.237.204.65:35455/mgtv/629942228.m3u8
经典动画大集合,http://121.237.204.65:35455/mgtv/629942219.m3u8
开封鼓楼,http://121.237.204.65:35455/mgtv/681448619.m3u8
钱塘江,http://121.237.204.65:35455/mgtv/647370520.m3u8
老故事,http://121.237.204.65:35455/mgtv/884121956.m3u8
发现之旅,http://121.237.204.65:35455/mgtv/624878970.m3u8
中学生,http://121.237.204.65:35455/mgtv/708869532.m3u8
深度对话,http://121.237.204.65:35455/mgtv/625703337.m3u8
新动力量创一流,http://121.237.204.65:35455/mgtv/713589837.m3u8
中国航天“逆袭”之路,http://121.237.204.65:35455/mgtv/617432318.m3u8
体坛名栏汇,http://121.237.204.65:35455/mgtv/629943305.m3u8
体育休闲,http://121.237.204.65:35455/mgtv/626064707.m3u8
江苏国际,http://121.237.204.65:35455/mgtv/626064674.m3u8
江苏教育,http://121.237.204.65:35455/mgtv/628008321.m3u8
江苏影视,http://121.237.204.65:35455/mgtv/626064697.m3u8
江苏综艺,http://121.237.204.65:35455/mgtv/626065193.m3u8
公共新闻,http://121.237.204.65:35455/mgtv/626064693.m3u8
盐城新闻综合,http://121.237.204.65:35455/mgtv/639731825.m3u8
泰州新闻综合,http://121.237.204.65:35455/mgtv/639731818.m3u8
连云港新闻综合,http://121.237.204.65:35455/mgtv/639731715.m3u8
宿迁新闻综合,http://121.237.204.65:35455/mgtv/639731832.m3u8
徐州新闻综合,http://121.237.204.65:35455/mgtv/639731747.m3u8
CETV-1,http://121.237.204.65:35455/nptv/cetv1.m3u8
CETV-1,http://121.237.204.65:35455/mgtv/923287154.m3u8
CETV-2,http://121.237.204.65:35455/mgtv/923287211.m3u8
CETV-4,http://121.237.204.65:35455/mgtv/923287339.m3u8
CGTN英语,https://0472.org/hls/cgtn.m3u8
CGTN记录,https://0472.org/hls/cgtnd.m3u8
CGTN俄语,https://0472.org/hls/cgtne.m3u8
CGTN法语,https://0472.org/hls/cgtnf.m3u8
CGTN西语,https://0472.org/hls/cgtnx.m3u8
CGTN阿语,https://0472.org/hls/cgtna.m3u8
CGTN英语,http://121.237.204.65:35455/nptv/cgtn.m3u8
CGTN记录,http://121.237.204.65:35455/nptv/cgtndoc.m3u8
CGTN俄语,http://121.237.204.65:35455/nptv/cgtnru.m3u8
CGTN法语,http://121.237.204.65:35455/nptv/cgtnfr.m3u8
CGTN西语,http://121.237.204.65:35455/nptv/cgtnsp.m3u8
CGTN阿语,http://121.237.204.65:35455/nptv/cgtnar.m3u8
4K-1,http://121.237.204.65:35455/itv/3000000010000005180.m3u8
4K-2,http://121.237.204.65:35455/itv/3000000010000015686.m3u8
Love Nature 4K,http://143.244.60.30/LOVE_NATURE/index.m3u8
北京纪实科教8K,https://gdcucc.v1.mk/gdcucc/brtv8k.m3u8
欢笑剧场4K,http://69.165.67.56/yangjuan.php?id=hxjc4k@15000000
cctv4k,http://69.165.67.56/yangjuan.php?id=cctv4k@15000000
cctv164k,http://69.165.67.56/yangjuan.php?id=cctv16hd4k@15000000
BTV新闻,http://69.165.67.56/yangjuan.php?id=cctv13hd4m@4000000
IPTV少儿动画,http://69.165.67.56/yangjuan.php?id=cctvsehd@4000000
动感音乐,http://69.165.67.56/yangjuan.php?id=cctvyyhd4m@4000000
中国教育1,http://69.165.67.56/yangjuan.php?id=zgjy1ott@4000000
中国教育2,http://69.165.67.56/yangjuan.php?id=cetv2@2500000
中国教育4,http://69.165.67.56/yangjuan.php?id=cetv4@1300000
卡酷卡通,http://69.165.67.56/yangjuan.php?id=kkkt@1300000
中国天气,http://69.165.67.56/yangjuan.php?id=zgqxhd4mc@4000000
热门剧场,http://69.165.67.56/yangjuan.php?id=rmjcvcc4m@4000000
华语影院,http://69.165.67.56/yangjuan.php?id=hyyyvcc4m@4000000
星光影院,http://69.165.67.56/yangjuan.php?id=xgyyvcc4m@4000000
全球大片,http://69.165.67.56/yangjuan.php?id=qqdpvcc4m@4000000
热门综艺,http://69.165.67.56/yangjuan.php?id=rmzyvcc4m@4000000
百变课堂,http://69.165.67.56/yangjuan.php?id=bbktvcc4m@4000000
金色学堂,http://69.165.67.56/yangjuan.php?id=jsxthd4m@4000000
茶,http://69.165.67.56/yangjuan.php?id=cpdhdavs8m@8000000
家庭理财,http://69.165.67.56/yangjuan.php?id=jtlcsd2d5mc@2500000
财富天下,http://69.165.67.56/yangjuan.php?id=cftx@2500000
看天下精选,http://69.165.67.56/yangjuan.php?id=ktxjx8m@8000000
东方购物上星,http://69.165.67.56/yangjuan.php?id=dfgwsxhd8m@8000000
好享购物,http://69.165.67.56/yangjuan.php?id=hxgwsd2d5m@2500000
央广购物,http://69.165.67.56/yangjuan.php?id=yggwsd2d5m@2500000
乐游,http://69.165.67.56/yangjuan.php?id=qjshd@4000000
TVB经典,mitv://66.42.60.221:6001/68623e45000d64ef0072e8839e833b0d.ts
TVB功夫,mitv://66.42.60.221:6001/685dfcdd00050115021f9830cd6a6720.ts
POPC电影,mitv://66.42.60.221:6001/685e195d0004f808028eec2e53900c87.ts
天映经典(国语),mitv://66.42.60.221:6001/685e193f0009feb3028e784717357704.ts
香港美亚电影(国语),mitv://66.42.60.221:6001/685e19210004f0d2028e01cce14c49f9.ts
HOY资讯,mitv://66.42.60.221:6001/6861efed0006be7c04673c62251b1532.ts
Viu TV,mitv://66.42.60.221:6001/68590aa6000af58318733beaa614d204.ts
ViuTV6,mitv://66.42.60.221:6001/6861efcb000da1620466b95562f4449a.ts
港台电视31,mitv://66.42.60.221:6001/6861ee5e0006793e046125b803a989a9.ts
港台电视32,mitv://66.42.60.221:6001/6861efac0001e50c04663d3c65679958.ts
NOW爆谷,mitv://66.42.60.221:6001/6864b12e00055f6704dd66e3a66e4630.ts
华视,mitv://66.42.60.221:6001/6858bf140005e473174c084e016edfc4.ts
台视,mitv://66.42.60.221:6001/6858bf4e0001af22174ce9ca5d7fc861.ts
中视,mitv://66.42.60.221:6001/6858be6a000dc97a17497243aabfae87.ts
公视,mitv://66.42.60.221:6001/685cfadd0000d0f4007d0728d209ef85.ts
中天娱乐,mitv://66.42.60.221:6001/685cfbcc000e9e080080b0480e8eac1e.ts
东森洋片,mitv://66.42.60.221:6001/685caea2000d60980479a0fd57e990f4.ts
东森幼幼,mitv://66.42.60.221:6001/685cfb720002f6a9007f4dbdc3e9b8e4.ts
东森亚洲新闻,mitv://66.42.60.221:6001/685cfb490001265a007ead1efa965f80.ts
TVBS,mitv://66.42.60.221:6001/68541f6f000bdb57053c6d4de974af11.ts
台视综合,mitv://66.42.60.221:6001/68541f96000b2102053d05759561beb2.ts
台视综合,mitv://66.42.60.221:6001/6858bf65000d30fd174d4694a0af9d09.ts
华视新闻资讯,mitv://66.42.60.221:6001/6858bf2c00062100174c661d5e589772.ts
壹新闻,mitv://66.42.60.221:6001/685c99fc000d74b80428f89279fbc2e6.ts
年代新闻,mitv://66.42.60.221:6001/685421700000773e05443e4a83f6950b.ts
年代MUCH,mitv://66.42.60.221:6001/685df8bc000abd7c020f78c09cf9626b.ts
纬来电影,mitv://66.42.60.221:6001/68541a330008f4d20527fa2f6ffa3569.ts
纬来日本,mitv://66.42.60.221:6001/6854223f0006edae0547688a0ffd698e.ts
纬来戏剧,mitv://66.42.60.221:6001/685d6c520007ade2023839f2fbc30c54.ts
纬来育乐,mitv://66.42.60.221:6001/68590acd0008da7a1873d3b82f17291b.ts
纬来综合,mitv://66.42.60.221:6001/685d6c76000ae84b0238c765987c6a64.ts
华纳电影,mitv://66.42.60.221:6001/6861f2d50008938c0472971a61256158.ts
博斯高球,mitv://66.42.60.221:6001/685bae9a00044db000917f6aa28037d1.ts
博斯无限,mitv://66.42.60.221:6001/685c9ffe0007851f04406edd8da76401.ts
博斯高球2,mitv://66.42.60.221:6001/685baec10003eaeb009217a93bbeb284.ts
博斯运动2,mitv://66.42.60.221:6001/685ca0450005b0ac044183bd06c65535.ts
爱尔达综合,mitv://66.42.60.221:6001/68590b740008da7d187660107403b130.ts
爱尔达影剧,mitv://66.42.60.221:6001/685bafb200091eae0095c666b152d972.ts
爱尔达体育2,mitv://66.42.60.221:6001/685c85ee00089a0503daa0a448215888.ts
爱尔达体育4,mitv://66.42.60.221:6001/685caf0e0003af0b047b4461c414bc37.ts
公视台语,mitv://66.42.60.221:6001/685cfb0800056c90007db04eca9232ad.ts
小公视,mitv://66.42.60.221:6001/685cfb26000a30f6007e26b6532c61c4.ts
霹雳台,mitv://66.42.60.221:6001/6861f31a000c6fb50473a59fee464402.ts
JET综合,mitv://66.42.60.221:6001/6861f2f3000ade8404730ce0fcc37295.ts
ETtoday,mitv://66.42.60.221:6001/6861f28b0005cc5b04717554af1cd6ed.ts
EYETV戏剧,mitv://66.42.60.221:6001/685ca06d00088591044220b73dbd97e2.ts
龙翔时代,mitv://66.42.60.221:6001/68541c90000ba4ad05313627a4462710.ts
台湾戏剧,mitv://66.42.60.221:6001/685423230006ca5a054ae3213f56c923.ts
catchplay电影,mitv://66.42.60.221:6001/685d6d13000ac35b023b2ca4f9d94bf7.ts
好莱坞电影,mitv://66.42.60.221:6001/68526c21000590cc1858c9128b7d175b.ts
AXN,mitv://66.42.60.221:6001/685d6d2d0006f86f023b913bb65b6913.ts
HBO,mitv://66.42.60.221:6001/68541bca00074e8b052e2f9a6d805921.ts
HBO家庭,mitv://66.42.60.221:6001/684f7bcc000ebd6c0cddff63d5f511b1.ts
HBO原创,mitv://66.42.60.221:6001/68541c50000dad1a05303cacbbb72c29.ts
HBO HITS,mitv://66.42.60.221:6001/68541ff200030e0c053e6ac4531f1793.ts
EYETV旅游,mitv://66.42.60.221:6001/685c85a3000eb69103d97d3cd63286f1.ts
罪案侦辑,mitv://66.42.60.221:6001/68590b110007464f1874dcf0dbc34a16.ts
CINEMAX,mitv://66.42.60.221:6001/685dfbcd000b6a50021b73545cbf26f1.ts
Discovery科学,mitv://66.42.60.221:6001/6861f0290009c7d20468278907e5bf61.ts
Discovery亚洲,mitv://66.42.60.221:6001/685baef90003216c0092f235d4c937eb.ts
BBC地球,mitv://66.42.60.221:6001/685c82e4000578af03cec0c7e3a5a477.ts
BBC Lifestyle,mitv://66.42.60.221:6001/685c83060000431b03cf44417802c0ce.ts
DMAX,mitv://66.42.60.221:6001/685c834e0006ad2603d05f26deba4f26.ts
WWE,mitv://66.42.60.221:6001/685c8327000f2f1d03cfc8fbc7708a60.ts
Z,mitv://66.42.60.221:6001/685c99c80002d49004282aba7a33d98d.ts
Bein Sports1,mitv://66.42.60.221:6001/6854228f000e194d0548a2e071eda2f5.ts
卡通,mitv://66.42.60.221:6001/6861f37600035be304750aac87c78264.ts
Nickelodeon,mitv://66.42.60.221:6001/6861f33b0009607b047425be9103ec74.ts
MTV Live,mitv://66.42.60.221:6001/685422fb000ae70c054a47ee21f1bc5a.ts
momo亲子,mitv://66.42.60.221:6001/685422d00001adc705499d9aab31ba23.ts
旅游生活,mitv://66.42.60.221:6001/685c998800094e46042732621cfddbbe.ts
新传媒8,mitv://66.42.60.221:6001/68623f6700079d40007753d8eb724a8a.ts
HUB都会,mitv://66.42.60.221:6001/68623e07000444330071f3fd49bb60be.ts
HUB娱家,mitv://66.42.60.221:6001/68623e270009137c0072723853ee12d8.ts
Astro IQIYI,mitv://66.42.60.221:6001/685e19800003eb59028f74a1937e2de8.ts
台湾|TVBS News 新闻,https://smart.pendy.dpdns.org/Smart.php?id=tvbs_n
台湾|TVBS 欢乐台 （备份）,https://smart.pendy.dpdns.org/Smart.php?id=tvbshuanle_twn
台湾|TVBS ,https://smart.pendy.dpdns.org/Smart.php?id=tvbs
台湾|中天新闻 ,https://smart.pendy.dpdns.org/Smart.php?id=ctinews
台湾|中天娱乐 CTI Entertaiment,https://smart.pendy.dpdns.org/Smart.php?id=ctient
台湾|中天综合 CTI Metro,https://smart.pendy.dpdns.org/Smart.php?id=ctizhonghe
台湾|中天亚洲,https://smart.pendy.dpdns.org/Smart.php?id=ctiasia_twn
台湾|台视 TTV ,https://smart.pendy.dpdns.org/Smart.php?id=ttv_taiwan
台湾|台视新闻,https://smart.pendy.dpdns.org/Smart.php?id=ttvnews_twn
台湾|台视综合,https://smart.pendy.dpdns.org/Smart.php?id=ttvzhonghe
台湾|中视 ,https://smart.pendy.dpdns.org/Smart.php?id=zhongshihd_twn
台湾|中视新闻,https://smart.pendy.dpdns.org/Smart.php?id=zhongshinews_twn
台湾|民视 ,https://smart.pendy.dpdns.org/Smart.php?id=ftvhd_taiwan
台湾|民视新闻台 FTV News,https://smart.pendy.dpdns.org/Smart.php?id=ftvnew_taiwan
台湾|民视台湾,https://smart.pendy.dpdns.org/Smart.php?id=ftvtaiwan_twn
台湾|华视 CTS ,https://smart.pendy.dpdns.org/Smart.php?id=ctshd_twn
台湾|公视 CTV,https://smart.pendy.dpdns.org/Smart.php?id=ctv18_twn
台湾|八大第一 GTV First,https://smart.pendy.dpdns.org/Smart.php?id=badafirst
台湾|八大综合 GTV Metro,https://smart.pendy.dpdns.org/Smart.php?id=badazhonghe
台湾|八大戏剧 GTV Drama,https://smart.pendy.dpdns.org/Smart.php?id=badadrama
台湾|八大娱乐 GTV Entertainment,https://smart.pendy.dpdns.org/Smart.php?id=badaentertain
台湾|HBO_,https://smart.pendy.dpdns.org/Smart.php?id=hbohd_twn
台湾|HBO_HITS,https://smart.pendy.dpdns.org/Smart.php?id=hbohit_twn
台湾|Hollywood Movies,https://smart.pendy.dpdns.org/Smart.php?id=hollywoodmovies_twn
台湾|三立台湾 Sanli Taiwan,https://smart.pendy.dpdns.org/Smart.php?id=sanlitaiwan
台湾|三立戏剧,https://smart.pendy.dpdns.org/Smart.php?id=sanlixiju_twn
台湾|三立综合 Sanli Metro,https://smart.pendy.dpdns.org/Smart.php?id=sanlizhonghe
台湾|三立都会,https://smart.pendy.dpdns.org/Smart.php?id=sanlidouhui
台湾|东森新闻 ETTV News,https://smart.pendy.dpdns.org/Smart.php?id=ettvnews
台湾|CINEMAX,https://smart.pendy.dpdns.org/Smart.php?id=cinemax_twn
台湾|东森综合 ETTV Metro,https://smart.pendy.dpdns.org/Smart.php?id=ettvzhonghe
台湾|东森戏剧 ETTV Drama,https://smart.pendy.dpdns.org/Smart.php?id=ettvdrama
台湾|东森超视,https://smart.pendy.dpdns.org/Smart.php?id=ettvsuper
台湾|东森财经新闻 ETTV Business,https://smart.pendy.dpdns.org/Smart.php?id=ettvcaijing_twn
台湾|寰宇财经,https://smart.pendy.dpdns.org/Smart.php?id=huanyutaiwan_twn
台湾|寰宇新闻,https://smart.pendy.dpdns.org/Smart.php?id=huanyuxinwen_twn
台湾|公视2,https://smart.pendy.dpdns.org/Smart.php?id=ctv2_twn
台湾|大爱1,https://smart.pendy.dpdns.org/Smart.php?id=daai_twn
台湾|非凡新闻,https://smart.pendy.dpdns.org/Smart.php?id=feifannews_twn
台湾|龙华戏剧 Lunghua Drama,https://smart.pendy.dpdns.org/Smart.php?id=lunghuaxiju_twn
台湾|龙华经典,https://smart.pendy.dpdns.org/Smart.php?id=lunghuajingdian_twn
台湾|龙华偶像,https://smart.pendy.dpdns.org/Smart.php?id=lunghuaidol_twn
台湾|AXN Taiwan,https://smart.pendy.dpdns.org/Smart.php?id=axn_twn
台湾|靖天国际,https://smart.pendy.dpdns.org/Smart.php?id=jingtianintl_twn
台湾|年代新闻,https://smart.pendy.dpdns.org/Smart.php?id=niandainews_twn
台湾|纬来日本,https://smart.pendy.dpdns.org/Smart.php?id=videolandjapan
台湾|纬来电影,https://smart.pendy.dpdns.org/Smart.php?id=videolandmovie
台湾|纬来体育,https://smart.pendy.dpdns.org/Smart.php?id=videolandsport
台湾|纬来综合,https://smart.pendy.dpdns.org/Smart.php?id=videolandzonghe
台湾|纬来育乐,https://smart.pendy.dpdns.org/Smart.php?id=videolandyule
台湾|纬来精彩,https://smart.pendy.dpdns.org/Smart.php?id=videolandspecial_twn
台湾|好消息 2,https://smart.pendy.dpdns.org/Smart.php?id=good2_twn
台湾|大爱2,https://smart.pendy.dpdns.org/Smart.php?id=daai2_twn
台湾|亚洲美食,https://smart.pendy.dpdns.org/Smart.php?id=afc_twn
台湾|美食星球,https://smart.pendy.dpdns.org/Smart.php?id=foodplanet_twn
台湾|亚洲旅游 TLC Asia,https://smart.pendy.dpdns.org/Smart.php?id=tlc_twn
台湾|东森电影 ETTV Movie,https://smart.pendy.dpdns.org/Smart.php?id=ettvmovie
台湾|阿里郎 Arirang,https://smart.pendy.dpdns.org/Smart.php?id=arirang_twn
台湾|博斯运动 1,https://smart.pendy.dpdns.org/Smart.php?id=bosisport1_twn
台湾|博斯运动 2,https://smart.pendy.dpdns.org/Smart.php?id=bosisport2_twn
台湾|博斯高球2 ,https://smart.pendy.dpdns.org/Smart.php?id=bosigolf2_twn
台湾|博斯网球 ,https://smart.pendy.dpdns.org/Smart.php?id=bositennis_twn
台湾|东森洋片 ETTV Western,https://smart.pendy.dpdns.org/Smart.php?id=ettvwestern
台湾|龙华洋片 Lunghua Western,https://smart.pendy.dpdns.org/Smart.php?id=lunghuawestern_twn
台湾|博斯无限,https://smart.pendy.dpdns.org/Smart.php?id=bosiunlimited_twn
台湾|MTV Live,https://smart.pendy.dpdns.org/Smart.php?id=mtvhd_twn
台湾|龙详时代,https://smart.pendy.dpdns.org/Smart.php?id=lungxiangtime_twn
台湾|EYETV 旅游,https://smart.pendy.dpdns.org/Smart.php?id=eyetvtravel_twn
台湾|靖天卡通,https://smart.pendy.dpdns.org/Smart.php?id=jingtiancartoon_twn
台湾|EYETV 戏剧,https://smart.pendy.dpdns.org/Smart.php?id=eyetvxiju_twn
台湾|卫视中文台 Star Movies Chinese,https://smart.pendy.dpdns.org/Smart.php?id=weishichinese_twn
台湾|东森幼幼 Yoyo TV,https://smart.pendy.dpdns.org/Smart.php?id=yoyo_twn
台湾|卫视电影,https://smart.pendy.dpdns.org/Smart.php?id=weishimovie_twn
台湾|美亚电影,https://smart.pendy.dpdns.org/Smart.php?id=meiyamovie_twn
台湾|爱尔达影剧,https://smart.pendy.dpdns.org/Smart.php?id=eltayingju_twn
台湾|爱尔达综合,https://smart.pendy.dpdns.org/Smart.php?id=eltazonghe_twn
台湾|星卫电影,https://smart.pendy.dpdns.org/Smart.php?id=xingwei_movie
台湾|AFC 亚洲旅游,https://smart.pendy.dpdns.org/Smart.php?id=asiatravel_twn
台湾|爱尔达体育2,https://smart.pendy.dpdns.org/Smart.php?id=eltasport2_twn
